# Displaying trades for selected time interval: All
name,date,quantity,price,state
Dragon platebody,2026-01-17 09:48 AM,1,2306765,BOUGHT
Dragon platebody,2026-01-17 10:01 AM,1,2346058,SOLD
# Total profit: 39293

Zamorakian hasta,2026-01-17 09:37 AM,1,1547412,CANCELLED_BUY
Zamorakian hasta,2026-01-17 09:49 AM,1,1582588,SOLD
# Total profit: 35176

Gold leaf,2026-01-17 09:25 AM,1,139411,BOUGHT
# Total profit: 0

Swampbark body,2026-01-17 09:03 AM,3,91404,BOUGHT
Swampbark body,2026-01-17 09:42 AM,3,101185,SOLD
# Total profit: 29343

Tai bwo wannai teleport,2026-01-17 08:53 AM,94,1924,CANCELLED_BUY
Tai bwo wannai teleport,2026-01-17 09:21 AM,94,2141,SOLD
# Total profit: 20398

Bolt of cloth,2026-01-17 08:44 AM,4,449,BOUGHT
# Total profit: 0

Raw salmon,2026-01-17 08:45 AM,3154,71,CANCELLED_BUY
Raw salmon,2026-01-17 08:57 AM,3322,80,CANCELLED_SELL
Raw salmon,2026-01-17 08:57 AM,29,69,SOLD
# Total profit: 28386

Water rune,2026-01-17 08:08 AM,5000,5,BOUGHT
# Total profit: 0

Fire rune,2026-01-17 08:08 AM,1000,5,BOUGHT
Fire rune,2026-01-17 08:08 AM,1000,5,BOUGHT
Fire rune,2026-01-17 08:08 AM,1000,5,BOUGHT
# Total profit: 0

Mystic boots,2026-01-17 08:29 AM,57,5909,BOUGHT
Mystic boots,2026-01-17 08:58 AM,1,6630,CANCELLED_SELL
Mystic boots,2026-01-17 09:36 AM,56,6424,SOLD
# Total profit: 29561

Law rune,2026-01-17 08:06 AM,2000,117,BOUGHT
# Total profit: 0

Teak plank,2026-01-17 08:02 AM,10,724,BOUGHT
Teak plank,2026-01-17 08:15 AM,10,723,BOUGHT
Teak plank,2026-01-17 08:50 AM,10,723,BOUGHT
Teak plank,2026-01-31 07:12 PM,1476,837,BOUGHT
Teak plank,2026-01-31 07:15 PM,506,852,CANCELLED_SELL
Teak plank,2026-01-31 07:16 PM,970,851,SOLD
# Total profit: 24580

Swampbark legs,2026-01-17 08:02 AM,1,85906,CANCELLED_BUY
Swampbark legs,2026-01-17 08:04 AM,1,100401,SOLD
# Total profit: 14495

Cup of hot water,2026-01-17 08:05 AM,2251,242,CANCELLED_BUY
Cup of hot water,2026-01-17 08:42 AM,2251,270,SOLD
# Total profit: 63028

Contract of sensory clouding,2026-01-17 07:49 AM,9,158067,BOUGHT
Contract of sensory clouding,2026-01-17 08:45 AM,4,171061,CANCELLED_SELL
Contract of sensory clouding,2026-01-17 08:46 AM,5,168926,SOLD
# Total profit: 106271

Blighted manta ray,2026-01-17 07:59 AM,10000,115,BOUGHT
Blighted manta ray,2026-01-17 08:16 AM,9067,121,SOLD
# Total profit: 54402

Elder chaos hood,2026-01-17 07:46 AM,1,133265,CANCELLED_BUY
Elder chaos hood,2026-01-17 07:49 AM,1,145506,SOLD
# Total profit: 12241

Salve graveyard teleport,2026-01-17 07:45 AM,19,2516,CANCELLED_BUY
Salve graveyard teleport,2026-01-17 07:47 AM,19,2725,SOLD
# Total profit: 3971

Ahrim's robeskirt,2026-01-17 07:42 AM,1,1671312,CANCELLED_BUY
Ahrim's robeskirt,2026-01-17 07:42 AM,1,1712188,SOLD
# Total profit: 40876

Hueycoatl hide chaps,2026-01-17 07:37 AM,1,887661,BOUGHT
Hueycoatl hide chaps,2026-01-17 08:43 AM,1,901004,SOLD
# Total profit: 13343

Ranarr potion (unf),2026-01-17 07:31 AM,1153,5361,BOUGHT
Ranarr potion (unf),2026-01-17 07:44 AM,1153,5417,SOLD
# Total profit: 64568

Granite maul,2026-01-17 07:32 AM,13,215945,CANCELLED_BUY
Granite maul,2026-01-17 07:37 AM,3,219056,CANCELLED_SELL
Granite maul,2026-01-17 07:47 AM,8,218525,CANCELLED_SELL
Granite maul,2026-01-17 07:53 AM,2,219080,SOLD
